table_key,page_start,page_end,title_guess,section,table_family,column_pattern,entities,periods,continuation_candidate,continuation_group,confidence,review_reasons
2025-2026-p014,14,14,2025/2026 Budget,Operating Budget,operating_statement,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-001,medium,[]
2025-2026-p015,15,15,2025/2026 Budget,Operating Budget,operating_statement,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p016,16,16,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p017,17,17,2025/2026 Operating Budget,Operating Budget,operating_detail,"item | budget | forecast | variance (2024/25, 2025/2026, 2025/26)","[""City of Charlottetown""]","[""2024/25"", ""2025/2026"", ""2025/26""]",False,continuation-002,high,[]
2025-2026-p018,18,18,2025/2026 Operating Budget,Operating Budget,operating_detail,"item | budget | forecast (2024/25, 2025/2026, 2025/26)","[""City of Charlottetown""]","[""2024/25"", ""2025/2026"", ""2025/26""]",True,continuation-002,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p019,19,19,2025/2026 Operating Budget,Operating Budget,tax_assessment_rate,class | assessment | rate | revenue,"[""City of Charlottetown""]","[""2025"", ""2025/2026"", ""2025/26""]",False,,medium,[]
2025-2026-p024,24,24,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,,medium,[]
2025-2026-p025,25,25,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",False,continuation-003,high,[]
2025-2026-p026,26,26,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p027,27,27,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p028,28,28,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p029,29,29,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p031,31,31,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,continuation-004,medium,[]
2025-2026-p032,32,32,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",True,continuation-004,medium,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p033,33,33,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""Eastlink Centre"", ""City of Charlottetown""]","[""2025/2026""]",False,continuation-005,high,[]
2025-2026-p034,34,34,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p035,35,35,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p036,36,36,2025/2026 Operating Budget,Operating Budget,operating_detail,item | budget (2025/2026),"[""City of Charlottetown""]","[""2025/2026""]",True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
2025-2026-p038,38,38,2025/2026 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2024/2025, 2025/2026)","[""City of Charlottetown""]","[""2024/2025"", ""2025/2026""]",False,,medium,[]
