page_key,page_number,printed_page_label,content_type,disposition,section,title_guess,statement_class,table_candidate,table_family,text_extraction_method,embedded_character_count,ocr_character_count,ocr_word_count,ocr_mean_confidence,ocr_rotation_degrees,amount_token_count,numeric_line_count,periods,continuation_candidate,continuation_of_page_key,confidence,review_reasons
ctown_fs_ws_sa_2024_12_31_audited_p001,1,,cover,administrative_front_matter,Front matter,CHARLOTTETOWN WATER AND SEWER,,False,,ocr_full_page,0,112,15,93.44,0,0,1,"[""2024""]",False,,high,[]
ctown_fs_ws_sa_2024_12_31_audited_p002,2,,index,administrative_front_matter,Front matter,INDEX TO FINANCIAL STATEMENTS,,False,,ocr_full_page,0,315,46,93.99,0,0,1,[],False,,high,[]
ctown_fs_ws_sa_2024_12_31_audited_p003,3,,management_responsibility,administrative_front_matter,Front matter,MANAGEMENT'S RESPONSIBILITY FOR THE FINANCIAL STATEMENTS,,False,,ocr_full_page,0,1691,234,96.23,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p004,4,,auditor_report,administrative_front_matter,Auditor report,a I A ee,,False,,ocr_full_page,0,3485,513,95.59,0,0,2,"[""2024""]",False,,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p005,5,3,auditor_report,administrative_front_matter,Auditor report,"° Identify and assess the risks of material misstatement of the financial statements, whether due to fraud",,False,,ocr_full_page,0,2207,335,93.75,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p006,6,,financial_statement,financial_table_candidate,Primary statements,a Oe ee ee,financial_position,True,financial_position,ocr_full_page,0,793,123,86.69,0,20,15,"[""2023"", ""2024""]",False,,high,[]
ctown_fs_ws_sa_2024_12_31_audited_p007,7,,financial_statement,financial_table_candidate,Primary statements,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,changes_in_net_assets_available_for_benefits,True,changes_in_net_assets_available_for_benefits,ocr_full_page,0,924,140,93.68,0,28,17,"[""2023"", ""2024""]",False,,high,[]
ctown_fs_ws_sa_2024_12_31_audited_p008,8,6,financial_statement,financial_table_candidate,Primary statements,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,changes_in_pension_obligations,True,changes_in_pension_obligations,ocr_full_page,0,652,97,94.91,0,17,12,"[""2023"", ""2024""]",False,,high,[]
ctown_fs_ws_sa_2024_12_31_audited_p009,9,,notes,financial_table_candidate,Notes,eee,,True,note_disclosure_table,ocr_full_page,0,2727,440,95.9,0,1,8,"[""1945"", ""2000"", ""2024""]",False,,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p010,10,,notes,financial_table_candidate,Notes,es =,,True,note_disclosure_table,ocr_full_page,0,2891,460,95.98,0,0,8,"[""2024""]",True,ctown_fs_ws_sa_2024_12_31_audited_p009,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p011,11,,notes,financial_table_candidate,Notes,ae ee,,True,note_disclosure_table,ocr_full_page,0,3616,561,95.58,0,0,4,"[""2024""]",True,ctown_fs_ws_sa_2024_12_31_audited_p010,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p012,12,,notes,financial_table_candidate,Notes,a tt,,True,note_disclosure_table,ocr_full_page,0,3044,456,96.03,0,0,3,"[""2023"", ""2024""]",True,ctown_fs_ws_sa_2024_12_31_audited_p011,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p013,13,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,1820,284,93.83,0,47,24,"[""2023"", ""2024""]",True,ctown_fs_ws_sa_2024_12_31_audited_p012,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p014,14,,notes,financial_table_candidate,Notes,——— ee eee,,True,note_disclosure_table,ocr_full_page,0,2031,329,91.47,0,43,23,"[""2023"", ""2024""]",True,ctown_fs_ws_sa_2024_12_31_audited_p013,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p015,15,13,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,1796,278,95.37,0,15,15,"[""2022"", ""2023"", ""2024"", ""2025""]",True,ctown_fs_ws_sa_2024_12_31_audited_p014,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p016,16,14,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,2313,306,94.95,0,8,20,"[""2023"", ""2024""]",True,ctown_fs_ws_sa_2024_12_31_audited_p015,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p017,17,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,3291,528,96.13,0,0,5,"[""2023"", ""2024""]",True,ctown_fs_ws_sa_2024_12_31_audited_p016,medium,[]
ctown_fs_ws_sa_2024_12_31_audited_p018,18,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,1663,267,95.72,0,0,4,"[""2023"", ""2024""]",True,ctown_fs_ws_sa_2024_12_31_audited_p017,medium,[]
