table_key,page_start,page_end,title_guess,section,table_family,column_pattern,entities,periods,continuation_candidate,continuation_group,confidence,review_reasons
2026-2027-p012,12,12,Capital City Context and Service Pressures,Budget Overview,overview_summary,"item | amount (2023, 2026)",[],"[""2023"", ""2026""]",False,,medium,[]
2026-2027-p015,15,15,Funding & Taxation,Budget Overview,tax_assessment_rate,class | assessment | rate | revenue,"[""Charlottetown Water and Sewer""]",[],False,,medium,[]
2026-2027-p018,18,18,2026/2027 Budget,Operating Budget,operating_statement,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",False,continuation-001,medium,[]
2026-2027-p019,19,19,2026/2027 Budget,Operating Budget,operating_statement,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p020,20,20,2026/2027 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p021,21,21,2026/2027 Operating Budget,Operating Budget,operating_detail,"item | budget | forecast | variance (2025/26, 2026/2027, 2026/27)","[""City of Charlottetown""]","[""2025/26"", ""2026/2027"", ""2026/27""]",False,continuation-002,high,[]
2026-2027-p022,22,22,2026/2027 Operating Budget,Operating Budget,operating_detail,"item | budget | forecast (2025/26, 2026/2027, 2026/27)","[""City of Charlottetown""]","[""2025/26"", ""2026/2027"", ""2026/27""]",True,continuation-002,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p023,23,23,2026/2027 Operating Budget,Operating Budget,tax_assessment_rate,class | assessment | rate | revenue,[],"[""2026"", ""2026/2027""]",False,,medium,[]
2026-2027-p028,28,28,2026/2027 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",False,,medium,[]
2026-2027-p029,29,29,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",False,continuation-003,high,[]
2026-2027-p030,30,30,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p031,31,31,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p032,32,32,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p033,33,33,0 -,Operating Budget,operating_statement,item | amount (unlabeled period),[],[],False,,medium,[]
2026-2027-p035,35,35,2026/2027 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",False,continuation-004,medium,[]
2026-2027-p036,36,36,2026/2027 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",True,continuation-004,medium,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p037,37,37,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""Eastlink Centre"", ""City of Charlottetown""]","[""2026/2027""]",False,continuation-005,high,[]
2026-2027-p038,38,38,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p039,39,39,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p040,40,40,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p041,41,41,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p043,43,43,2026/2027 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",False,,medium,[]
2026-2027-p044,44,44,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",False,continuation-006,high,[]
2026-2027-p045,45,45,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-006,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p046,46,46,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-006,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p048,48,48,2026/2027 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",False,,high,[]
2026-2027-p049,49,49,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",False,continuation-007,high,[]
2026-2027-p050,50,50,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",True,continuation-007,high,"[""adjacent same-family page; continuation requires visual review""]"
2026-2027-p052,52,52,2026/2027 Operating Budget,Operating Budget,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",False,,medium,[]
2026-2027-p053,53,53,2026/2027 Operating Budget,Operating Budget,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",False,continuation-008,high,[]
